Admit,Reject,Department,GRE,Quants,Verbal,TOEFL,IELTS,GPA,Work_Ex
NA,Massachusetts Institute of Technology,Computer Science,294,153,141,0,7.5,1.9,12
Massachusetts Institute of Technology,NA,Computer Science,339,170,169,0,9.5,3.5,7
NA,Massachusetts Institute of Technology,Computer Engineering,305,159,146,0,6.5,2.4,10
Massachusetts Institute of Technology,NA,Computer Engineering,321,162,159,107,0,3.7,7
NA,Massachusetts Institute of Technology,Electrical Engineering,310,156,154,83,0,1.8,15
Massachusetts Institute of Technology,NA,Electrical Engineering,324,163,161,0,7.5,3.6,8
NA,Massachusetts Institute of Technology,Management Of Technology,312,160,152,0,5.5,2.2,11
Massachusetts Institute of Technology,NA,Management Of Technology,337,170,167,104,0,3.1,23
NA,Massachusetts Institute of Technology,Mechanical Engineering,292,148,144,93,0,1.8,23
Massachusetts Institute of Technology,NA,Mechanical Engineering,333,170,163,0,6.5,3.4,12
NA,Stanford University,Computer Science,298,152,146,101,0,1.9,5
Stanford University,NA,Computer Science,324,165,159,106,0,3.8,16
NA,Stanford University,Computer Engineering,310,161,149,96,0,1.6,5
Stanford University,NA,Computer Engineering,324,165,159,0,7.5,4,17
NA,Stanford University,Electrical Engineering,302,156,146,98,0,3.4,18
Stanford University,NA,Electrical Engineering,323,163,160,0,9.5,3.7,2
NA,Stanford University,Management Of Technology,319,163,156,0,5.5,3.5,7
Stanford University,NA,Management Of Technology,328,165,163,116,0,4,1
NA,Stanford University,Mechanical Engineering,283,146,137,84,0,3.4,8
Stanford University,NA,Mechanical Engineering,339,170,169,120,0,3.8,18
NA,Cornell University,Computer Science,277,145,132,94,0,2.1,13
Cornell University,NA,Computer Science,334,170,164,0,6.5,3.9,2
NA,Cornell University,Computer Engineering,281,147,134,0,6.5,3.1,3
Cornell University,NA,Computer Engineering,332,167,165,0,8.5,3.1,23
NA,Cornell University,Electrical Engineering,270,136,134,0,7.5,3.2,20
Cornell University,NA,Electrical Engineering,324,165,159,106,0,3.2,23
NA,Cornell University,Management Of Technology,267,135,132,0,6.5,3.2,18
Cornell University,NA,Management Of Technology,340,170,170,0,7.5,3.9,13
NA,Cornell University,Mechanical Engineering,268,137,131,0,7.5,3.4,13
Cornell University,NA,Mechanical Engineering,338,170,168,105,0,3.3,11
NA,Purdue University,Computer Science,280,145,135,86,0,2.2,12
Purdue University,NA,Computer Science,340,170,170,0,8.5,3.5,2
NA,Purdue University,Computer Engineering,290,150,140,83,0,3.2,1
Purdue University,NA,Computer Engineering,339,170,169,105,0,3.9,6
NA,Purdue University,Electrical Engineering,276,140,136,93,0,2.1,14
Purdue University,NA,Electrical Engineering,336,170,166,108,0,3.2,7
NA,Purdue University,Management Of Technology,282,145,137,101,0,2.6,8
Purdue University,NA,Management Of Technology,338,171,167,0,6.5,3.7,14
