Year,Term,GRE,TOEFL,IELTS,GPA,University,Department,Admit
2016,FALL,270,89,0,3.4,Massachusetts Institute of Technology,Computer Science,0
2016,FALL,310,0,6.5,2.9,Massachusetts Institute of Technology,Computer Science,0
2016,FALL,292,81,0,2,Massachusetts Institute of Technology,Computer Science,0
2016,FALL,317,0,7.5,2.4,Massachusetts Institute of Technology,Computer Science,0
2016,FALL,274,98,0,2.1,Massachusetts Institute of Technology,Computer Science,0
2016,FALL,339,0,9.5,3.6,Massachusetts Institute of Technology,Computer Science,1
2016,FALL,321,103,0,3.7,Massachusetts Institute of Technology,Computer Science,1
2016,FALL,327,0,9.5,3.4,Massachusetts Institute of Technology,Computer Science,1
2016,FALL,331,101,0,4,Massachusetts Institute of Technology,Computer Science,1
2016,FALL,335,0,7.5,3.3,Massachusetts Institute of Technology,Computer Science,1
2016,FALL,271,90,0,1.8,Massachusetts Institute of Technology,Computer Engineering,0
2016,FALL,263,0,6.5,3.2,Massachusetts Institute of Technology,Computer Engineering,0
2016,FALL,316,81,0,1.6,Massachusetts Institute of Technology,Computer Engineering,0
2016,FALL,294,0,6.5,3.3,Massachusetts Institute of Technology,Computer Engineering,0
2016,FALL,320,88,0,3.1,Massachusetts Institute of Technology,Computer Engineering,0
2016,FALL,332,0,6.5,3.3,Massachusetts Institute of Technology,Computer Engineering,1
2016,FALL,330,114,0,3.1,Massachusetts Institute of Technology,Computer Engineering,1
2016,FALL,322,0,6.5,3.4,Massachusetts Institute of Technology,Computer Engineering,1
2016,FALL,321,106,0,3.6,Massachusetts Institute of Technology,Computer Engineering,1
2016,FALL,335,0,6.5,3.6,Massachusetts Institute of Technology,Computer Engineering,1
2016,FALL,307,90,0,1.9,Massachusetts Institute of Technology,Electrical Engineering,0
2016,FALL,289,0,7.5,1.6,Massachusetts Institute of Technology,Electrical Engineering,0
2016,FALL,308,92,0,2.1,Massachusetts Institute of Technology,Electrical Engineering,0
2016,FALL,314,0,5.5,2.3,Massachusetts Institute of Technology,Electrical Engineering,0
2016,FALL,309,81,0,3.3,Massachusetts Institute of Technology,Electrical Engineering,0
2016,FALL,327,0,8.5,3.3,Massachusetts Institute of Technology,Electrical Engineering,1
2016,FALL,333,107,0,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2016,FALL,332,0,6.5,3.5,Massachusetts Institute of Technology,Electrical Engineering,1
2016,FALL,329,102,0,3.4,Massachusetts Institute of Technology,Electrical Engineering,1
2016,FALL,326,0,7.5,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2016,FALL,301,92,0,2,Massachusetts Institute of Technology,Management Of Technology,0
2016,FALL,284,0,5.5,3.1,Massachusetts Institute of Technology,Management Of Technology,0
2016,FALL,305,83,0,2.8,Massachusetts Institute of Technology,Management Of Technology,0
2016,FALL,296,0,5.5,3.5,Massachusetts Institute of Technology,Management Of Technology,0
2016,FALL,317,81,0,1.7,Massachusetts Institute of Technology,Management Of Technology,0
2016,FALL,323,0,8.5,3.4,Massachusetts Institute of Technology,Management Of Technology,1
2016,FALL,323,119,0,4,Massachusetts Institute of Technology,Management Of Technology,1
2016,FALL,322,0,7.5,3.2,Massachusetts Institute of Technology,Management Of Technology,1
2016,FALL,339,117,0,4,Massachusetts Institute of Technology,Management Of Technology,1
2016,FALL,335,0,7.5,3.5,Massachusetts Institute of Technology,Management Of Technology,1
2016,FALL,272,91,0,3.4,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,FALL,295,0,6.5,3.3,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,FALL,272,84,0,1.9,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,FALL,313,0,7.5,2.1,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,FALL,281,85,0,2.7,Massachusetts Institute of Technology,Mechanical Engineering,0
2016,FALL,329,0,6.5,3.2,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,FALL,329,104,0,4,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,FALL,323,0,6.5,3.9,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,FALL,334,102,0,3.4,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,FALL,327,0,8.5,3.5,Massachusetts Institute of Technology,Mechanical Engineering,1
2016,FALL,319,96,0,2.6,Stanford University,Computer Science,0
2016,FALL,273,0,7.5,1.6,Stanford University,Computer Science,0
2016,FALL,304,90,0,1.9,Stanford University,Computer Science,0
2016,FALL,291,0,6.5,1.6,Stanford University,Computer Science,0
2016,FALL,287,96,0,2.1,Stanford University,Computer Science,0
2016,FALL,338,0,9.5,4,Stanford University,Computer Science,1
2016,FALL,339,109,0,3.1,Stanford University,Computer Science,1
2016,FALL,327,0,7.5,3.4,Stanford University,Computer Science,1
2016,FALL,332,117,0,3.9,Stanford University,Computer Science,1
2016,FALL,340,0,6.5,3.4,Stanford University,Computer Science,1
2016,FALL,276,96,0,3.1,Stanford University,Computer Engineering,0
2016,FALL,285,0,7.5,2.5,Stanford University,Computer Engineering,0
2016,FALL,299,93,0,2.3,Stanford University,Computer Engineering,0
2016,FALL,320,0,6.5,2.1,Stanford University,Computer Engineering,0
2016,FALL,282,93,0,1.6,Stanford University,Computer Engineering,0
2016,FALL,322,0,7.5,3.8,Stanford University,Computer Engineering,1
2016,FALL,322,119,0,3.7,Stanford University,Computer Engineering,1
2016,FALL,333,0,8.5,3.6,Stanford University,Computer Engineering,1
2016,FALL,327,103,0,3.8,Stanford University,Computer Engineering,1
2016,FALL,340,0,9.5,3.8,Stanford University,Computer Engineering,1
2016,FALL,271,99,0,3.2,Stanford University,Electrical Engineering,0
2016,FALL,283,0,7.5,3,Stanford University,Electrical Engineering,0
2016,FALL,286,85,0,2.5,Stanford University,Electrical Engineering,0
2016,FALL,293,0,5.5,1.7,Stanford University,Electrical Engineering,0
2016,FALL,304,100,0,2.6,Stanford University,Electrical Engineering,0
2016,FALL,329,0,9.5,3.1,Stanford University,Electrical Engineering,1
2016,FALL,327,108,0,3.6,Stanford University,Electrical Engineering,1
2016,FALL,322,0,6.5,3.4,Stanford University,Electrical Engineering,1
2016,FALL,324,120,0,3.1,Stanford University,Electrical Engineering,1
2016,FALL,338,0,6.5,3.5,Stanford University,Electrical Engineering,1
2016,FALL,262,97,0,2,Stanford University,Management Of Technology,0
2016,FALL,286,0,6.5,2.8,Stanford University,Management Of Technology,0
2016,FALL,308,98,0,2.8,Stanford University,Management Of Technology,0
2016,FALL,320,0,7.5,3.3,Stanford University,Management Of Technology,0
2016,FALL,310,95,0,2.4,Stanford University,Management Of Technology,0
2016,FALL,329,0,7.5,3.5,Stanford University,Management Of Technology,1
2016,FALL,327,105,0,4,Stanford University,Management Of Technology,1
2016,FALL,340,0,7.5,3.5,Stanford University,Management Of Technology,1
2016,FALL,338,118,0,3.8,Stanford University,Management Of Technology,1
2016,FALL,324,0,8.5,3.3,Stanford University,Management Of Technology,1
2016,FALL,300,95,0,2,Stanford University,Mechanical Engineering,0
2016,FALL,315,0,5.5,3.3,Stanford University,Mechanical Engineering,0
2016,FALL,278,93,0,2.3,Stanford University,Mechanical Engineering,0
2016,FALL,272,0,7.5,2.8,Stanford University,Mechanical Engineering,0
2016,FALL,274,92,0,1.8,Stanford University,Mechanical Engineering,0
2016,FALL,326,0,7.5,3.5,Stanford University,Mechanical Engineering,1
2016,FALL,323,120,0,3.6,Stanford University,Mechanical Engineering,1
2016,FALL,329,0,6.5,3.5,Stanford University,Mechanical Engineering,1
2016,FALL,326,110,0,3.1,Stanford University,Mechanical Engineering,1
2016,FALL,324,0,6.5,3.6,Stanford University,Mechanical Engineering,1
2016,FALL,317,81,0,2,Cornell University,Computer Science,0
2016,FALL,298,0,7.5,2.4,Cornell University,Computer Science,0
2016,FALL,266,84,0,1.6,Cornell University,Computer Science,0
2016,FALL,320,0,5.5,2.9,Cornell University,Computer Science,0
2016,FALL,266,86,0,2.8,Cornell University,Computer Science,0
2016,FALL,332,0,7.5,3.4,Cornell University,Computer Science,1
2016,FALL,323,117,0,3.6,Cornell University,Computer Science,1
2016,FALL,335,0,6.5,3.7,Cornell University,Computer Science,1
2016,FALL,331,115,0,3.1,Cornell University,Computer Science,1
2016,FALL,337,0,6.5,3.1,Cornell University,Computer Science,1
2016,FALL,295,101,0,1.6,Cornell University,Computer Engineering,0
2016,FALL,293,0,6.5,2.2,Cornell University,Computer Engineering,0
2016,FALL,281,89,0,3,Cornell University,Computer Engineering,0
2016,FALL,299,0,7.5,2.2,Cornell University,Computer Engineering,0
2016,FALL,267,82,0,1.8,Cornell University,Computer Engineering,0
2016,FALL,322,0,6.5,3.2,Cornell University,Computer Engineering,1
2016,FALL,333,104,0,3.1,Cornell University,Computer Engineering,1
2016,FALL,329,0,7.5,3.4,Cornell University,Computer Engineering,1
2016,FALL,340,110,0,3.4,Cornell University,Computer Engineering,1
2016,FALL,337,0,7.5,3.5,Cornell University,Computer Engineering,1
2016,FALL,270,90,0,1.7,Cornell University,Electrical Engineering,0
2016,FALL,276,0,7.5,2.5,Cornell University,Electrical Engineering,0
2016,FALL,303,91,0,2.8,Cornell University,Electrical Engineering,0
2016,FALL,318,0,6.5,2.1,Cornell University,Electrical Engineering,0
2016,FALL,271,83,0,2.1,Cornell University,Electrical Engineering,0
2016,FALL,326,0,6.5,3.5,Cornell University,Electrical Engineering,1
2016,FALL,322,106,0,3.3,Cornell University,Electrical Engineering,1
2016,FALL,325,0,6.5,3.3,Cornell University,Electrical Engineering,1
2016,FALL,323,112,0,3.5,Cornell University,Electrical Engineering,1
2016,FALL,328,0,6.5,3.6,Cornell University,Electrical Engineering,1
2016,FALL,278,101,0,1.7,Cornell University,Management Of Technology,0
2016,FALL,306,0,6.5,2.6,Cornell University,Management Of Technology,0
2016,FALL,313,83,0,2.9,Cornell University,Management Of Technology,0
2016,FALL,310,0,6.5,3.5,Cornell University,Management Of Technology,0
2016,FALL,319,85,0,1.6,Cornell University,Management Of Technology,0
2016,FALL,338,0,6.5,4,Cornell University,Management Of Technology,1
2016,FALL,322,117,0,4,Cornell University,Management Of Technology,1
2016,FALL,333,0,9.5,4,Cornell University,Management Of Technology,1
2016,FALL,336,114,0,3.3,Cornell University,Management Of Technology,1
2016,FALL,325,0,7.5,3.5,Cornell University,Management Of Technology,1
2016,FALL,269,90,0,3.4,Cornell University,Mechanical Engineering,0
2016,FALL,277,0,6.5,2.1,Cornell University,Mechanical Engineering,0
2016,FALL,268,96,0,1.7,Cornell University,Mechanical Engineering,0
2016,FALL,291,0,5.5,2.1,Cornell University,Mechanical Engineering,0
2016,FALL,282,101,0,1.6,Cornell University,Mechanical Engineering,0
2016,FALL,331,0,6.5,3.4,Cornell University,Mechanical Engineering,1
2016,FALL,334,120,0,3.9,Cornell University,Mechanical Engineering,1
2016,FALL,323,0,7.5,4,Cornell University,Mechanical Engineering,1
2016,FALL,337,101,0,3.9,Cornell University,Mechanical Engineering,1
2016,FALL,337,0,6.5,3.1,Cornell University,Mechanical Engineering,1
2016,FALL,273,81,0,2.4,Purdue University,Computer Science,0
2016,FALL,304,0,5.5,3.4,Purdue University,Computer Science,0
2016,FALL,261,90,0,1.8,Purdue University,Computer Science,0
2016,FALL,307,0,5.5,2.5,Purdue University,Computer Science,0
2016,FALL,262,88,0,1.8,Purdue University,Computer Science,0
2016,FALL,329,0,6.5,3.5,Purdue University,Computer Science,1
2016,FALL,336,109,0,3.7,Purdue University,Computer Science,1
2016,FALL,339,0,8.5,3.5,Purdue University,Computer Science,1
2016,FALL,333,107,0,3.9,Purdue University,Computer Science,1
2016,FALL,340,0,9.5,3.6,Purdue University,Computer Science,1
2016,FALL,274,100,0,3.2,Purdue University,Computer Engineering,0
2016,FALL,274,0,5.5,2.5,Purdue University,Computer Engineering,0
2016,FALL,294,81,0,2.9,Purdue University,Computer Engineering,0
2016,FALL,304,0,6.5,2.6,Purdue University,Computer Engineering,0
2016,FALL,276,91,0,2.2,Purdue University,Computer Engineering,0
2016,FALL,323,0,7.5,3.5,Purdue University,Computer Engineering,1
2016,FALL,321,111,0,4,Purdue University,Computer Engineering,1
2016,FALL,323,0,7.5,3.4,Purdue University,Computer Engineering,1
2016,FALL,333,114,0,3.1,Purdue University,Computer Engineering,1
2016,FALL,340,0,8.5,3.3,Purdue University,Computer Engineering,1
2016,FALL,267,96,0,2.2,Purdue University,Electrical Engineering,0
2016,FALL,315,0,6.5,1.6,Purdue University,Electrical Engineering,0
2016,FALL,294,95,0,3.3,Purdue University,Electrical Engineering,0
