Year,Term,GRE,TOEFL,IELTS,GPA,University,Department,Admit
2015,SPRING,284,88,0,2.5,Massachusetts Institute of Technology,Computer Science,0
2015,SPRING,288,0,5.5,2,Massachusetts Institute of Technology,Computer Science,0
2015,SPRING,267,83,0,1.9,Massachusetts Institute of Technology,Computer Science,0
2015,SPRING,295,0,6.5,2.1,Massachusetts Institute of Technology,Computer Science,0
2015,SPRING,283,98,0,3,Massachusetts Institute of Technology,Computer Science,0
2015,SPRING,317,0,6.5,3.3,Massachusetts Institute of Technology,Computer Science,1
2015,SPRING,331,119,0,2.9,Massachusetts Institute of Technology,Computer Science,1
2015,SPRING,320,0,8.5,3.2,Massachusetts Institute of Technology,Computer Science,1
2015,SPRING,317,103,0,3,Massachusetts Institute of Technology,Computer Science,1
2015,SPRING,323,0,9.5,3.7,Massachusetts Institute of Technology,Computer Science,1
2015,SPRING,281,88,0,1.6,Massachusetts Institute of Technology,Computer Engineering,0
2015,SPRING,266,0,5.5,2.8,Massachusetts Institute of Technology,Computer Engineering,0
2015,SPRING,310,95,0,3,Massachusetts Institute of Technology,Computer Engineering,0
2015,SPRING,300,0,5.5,1.4,Massachusetts Institute of Technology,Computer Engineering,0
2015,SPRING,272,94,0,2.9,Massachusetts Institute of Technology,Computer Engineering,0
2015,SPRING,317,0,7.5,3.6,Massachusetts Institute of Technology,Computer Engineering,1
2015,SPRING,317,109,0,3.1,Massachusetts Institute of Technology,Computer Engineering,1
2015,SPRING,332,0,9.5,3.1,Massachusetts Institute of Technology,Computer Engineering,1
2015,SPRING,317,103,0,3.5,Massachusetts Institute of Technology,Computer Engineering,1
2015,SPRING,330,0,6.5,3.1,Massachusetts Institute of Technology,Computer Engineering,1
2015,SPRING,293,102,0,2.3,Massachusetts Institute of Technology,Electrical Engineering,0
2015,SPRING,282,0,5.5,2.9,Massachusetts Institute of Technology,Electrical Engineering,0
2015,SPRING,279,88,0,2.7,Massachusetts Institute of Technology,Electrical Engineering,0
2015,SPRING,314,0,7.5,1.6,Massachusetts Institute of Technology,Electrical Engineering,0
2015,SPRING,268,102,0,1.9,Massachusetts Institute of Technology,Electrical Engineering,0
2015,SPRING,332,0,7.5,3.7,Massachusetts Institute of Technology,Electrical Engineering,1
2015,SPRING,335,118,0,3.5,Massachusetts Institute of Technology,Electrical Engineering,1
2015,SPRING,325,0,6.5,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2015,SPRING,317,115,0,3.1,Massachusetts Institute of Technology,Electrical Engineering,1
2015,SPRING,317,0,9.5,3.8,Massachusetts Institute of Technology,Electrical Engineering,1
2015,SPRING,282,86,0,2.1,Massachusetts Institute of Technology,Management Of Technology,0
2015,SPRING,312,0,5.5,2.5,Massachusetts Institute of Technology,Management Of Technology,0
2015,SPRING,294,82,0,1.5,Massachusetts Institute of Technology,Management Of Technology,0
2015,SPRING,283,0,5.5,2.5,Massachusetts Institute of Technology,Management Of Technology,0
2015,SPRING,306,96,0,2.4,Massachusetts Institute of Technology,Management Of Technology,0
2015,SPRING,319,0,7.5,3.7,Massachusetts Institute of Technology,Management Of Technology,1
2015,SPRING,330,112,0,3,Massachusetts Institute of Technology,Management Of Technology,1
2015,SPRING,317,0,7.5,2.9,Massachusetts Institute of Technology,Management Of Technology,1
2015,SPRING,323,105,0,3.5,Massachusetts Institute of Technology,Management Of Technology,1
2015,SPRING,331,0,7.5,3.1,Massachusetts Institute of Technology,Management Of Technology,1
2015,SPRING,287,96,0,2,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,SPRING,304,0,6.5,3.1,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,SPRING,312,94,0,2.2,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,SPRING,279,0,7.5,2.3,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,SPRING,282,84,0,2.2,Massachusetts Institute of Technology,Mechanical Engineering,0
2015,SPRING,325,0,6.5,3.4,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,SPRING,333,113,0,2.9,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,SPRING,316,0,6.5,3.5,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,SPRING,323,117,0,3.7,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,SPRING,327,0,7.5,3.1,Massachusetts Institute of Technology,Mechanical Engineering,1
2015,SPRING,258,85,0,2.8,Stanford University,Computer Science,0
2015,SPRING,293,0,6.5,2.3,Stanford University,Computer Science,0
